"filename", "language", "C", "C++", "x86 and x86_64 Assembly", "CMake", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\applib\CMakeLists.txt", "CMake", 0, 0, 0, 9, 0, 3, 12
"e:\ubuntu\diy-x86os\start\start\source\applib\crt0.S", "x86 and x86_64 Assembly", 0, 0, 10, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\applib\cstart.c", "C", 16, 0, 0, 0, 8, 2, 26
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.c", "C", 149, 0, 0, 0, 0, 11, 160
"e:\ubuntu\diy-x86os\start\start\source\applib\lib_syscall.h", "C", 32, 0, 0, 0, 8, 12, 52
"e:\ubuntu\diy-x86os\start\start\source\boot\CMakeLists.txt", "CMake", 0, 0, 0, 15, 0, 4, 19
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.c", "C", 6, 0, 0, 0, 14, 4, 24
"e:\ubuntu\diy-x86os\start\start\source\boot\boot.h", "C++", 0, 3, 0, 0, 10, 2, 15
"e:\ubuntu\diy-x86os\start\start\source\boot\start.S", "x86 and x86_64 Assembly", 0, 0, 40, 0, 0, 6, 46
"e:\ubuntu\diy-x86os\start\start\source\comm\boot_info.h", "C", 14, 0, 0, 0, 0, 7, 21
"e:\ubuntu\diy-x86os\start\start\source\comm\cpu_instr.h", "C++", 0, 115, 0, 0, 0, 15, 130
"e:\ubuntu\diy-x86os\start\start\source\comm\elf.h", "C", 43, 0, 0, 0, 2, 13, 58
"e:\ubuntu\diy-x86os\start\start\source\comm\types.h", "C", 7, 0, 0, 0, 0, 2, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\CMakeLists.txt", "CMake", 0, 0, 0, 16, 0, 3, 19
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\memory.c", "C", 316, 0, 0, 0, 38, 56, 410
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\syscall.c", "C", 49, 0, 0, 0, 0, 6, 55
"e:\ubuntu\diy-x86os\start\start\source\kernel\core\task.c", "C", 738, 0, 0, 0, 42, 74, 854
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\cpu.c", "C", 78, 0, 0, 0, 13, 9, 100
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\irq.c", "C", 289, 0, 0, 0, 1, 20, 310
"e:\ubuntu\diy-x86os\start\start\source\kernel\cpu\mmu.c", "C", 0, 0, 0, 0, 8, 1, 9
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\console.c", "C", 345, 0, 0, 0, 23, 27, 395
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\dev.c", "C", 91, 0, 0, 0, 5, 17, 113
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\kbd.c", "C", 211, 0, 0, 0, 23, 12, 246
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\time.c", "C", 26, 0, 0, 0, 8, 4, 38
"e:\ubuntu\diy-x86os\start\start\source\kernel\dev\tty.c", "C", 190, 0, 0, 0, 8, 15, 213
"e:\ubuntu\diy-x86os\start\start\source\kernel\fs\devfs\devfs.c", "C", 80, 0, 0, 0, 0, 4, 84
"e:\ubuntu\diy-x86os\start\start\source\kernel\fs\file.c", "C", 41, 0, 0, 0, 8, 9, 58
"e:\ubuntu\diy-x86os\start\start\source\kernel\fs\fs.c", "C", 373, 0, 0, 0, 8, 27, 408
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 42, 0, 0, 0, 8, 8, 58
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C", 47, 0, 0, 0, 8, 8, 63
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 97, 0, 0, 0, 8, 27, 132
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C", 60, 0, 0, 0, 8, 15, 83
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 88, 0, 0, 0, 0, 23, 111
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\mmu.h", "C", 71, 0, 0, 0, 0, 8, 79
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\console.h", "C", 86, 0, 0, 0, 0, 11, 97
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\dev.h", "C", 33, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\kbd.h", "C", 58, 0, 0, 0, 0, 13, 71
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h", "C++", 0, 11, 0, 0, 0, 5, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\tty.h", "C", 36, 0, 0, 0, 8, 7, 51
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\devfs\devfs.h", "C", 11, 0, 0, 0, 0, 4, 15
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\file.h", "C", 27, 0, 0, 0, 8, 7, 42
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\fs.h", "C", 45, 0, 0, 0, 0, 5, 50
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\mutex.h", "C", 14, 0, 0, 0, 0, 9, 23
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\sem.h", "C", 13, 0, 0, 0, 0, 3, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C", 13, 0, 0, 0, 8, 8, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\bitmap.h", "C", 15, 0, 0, 0, 8, 6, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C", 31, 0, 0, 0, 8, 7, 46
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\list.h", "C++", 0, 54, 0, 0, 0, 12, 66
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 5, 0, 0, 0, 0, 5, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 62, 0, 0, 0, 14, 3, 79
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task_entry.S", "x86 and x86_64 Assembly", 0, 0, 10, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 57, 0, 0, 0, 14, 12, 83
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h", "C++", 0, 3, 0, 0, 0, 5, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 0, 0, 421, 0, 0, 96, 517
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\mutex.c", "C", 49, 0, 0, 0, 8, 6, 63
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\sem.c", "C", 47, 0, 0, 0, 0, 4, 51
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\bitmap.c", "C", 65, 0, 0, 0, 0, 2, 67
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 244, 0, 0, 0, 3, 14, 261
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\list.c", "C", 78, 0, 0, 0, 8, 6, 92
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 49, 0, 0, 0, 13, 12, 74
"e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt", "CMake", 0, 0, 0, 15, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\loader\loader.h", "C++", 0, 17, 0, 0, 0, 8, 25
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c", "C", 66, 0, 0, 0, 9, 13, 88
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c", "C", 91, 0, 0, 0, 0, 6, 97
"e:\ubuntu\diy-x86os\start\start\source\loader\start.S", "x86 and x86_64 Assembly", 0, 0, 29, 0, 0, 6, 35
"e:\ubuntu\diy-x86os\start\start\source\shell\CMakeLists.txt", "CMake", 0, 0, 0, 20, 0, 5, 25
"e:\ubuntu\diy-x86os\start\start\source\shell\main.c", "C", 178, 0, 0, 0, 9, 10, 197
"e:\ubuntu\diy-x86os\start\start\source\shell\main.h", "C++", 0, 23, 0, 0, 8, 12, 43
"Total", "-", 4872, 226, 510, 75, 385, 788, 6856